hex_id,day_risk,evening_risk,night_risk
88608b0169fffff,0.0,18.181818181818183,0.0
88608b016bfffff,0.0,18.181818181818183,0.0
88608b0321fffff,40.0,27.27272727272727,12.5
88608b0323fffff,60.0,81.81818181818183,25.0
88608b0325fffff,0.0,9.090909090909092,6.25
88608b0327fffff,0.0,9.090909090909092,0.0
88608b032bfffff,0.0,9.090909090909092,0.0
88608b033dfffff,0.0,9.090909090909092,0.0
88608b0925fffff,0.0,9.090909090909092,0.0
88608b092dfffff,0.0,18.181818181818183,0.0
88608b0a63fffff,0.0,18.181818181818183,0.0
88608b0b11fffff,0.0,54.54545454545454,0.0
88608b0b13fffff,40.0,81.81818181818183,25.0
88608b0b15fffff,80.0,45.45454545454545,31.25
88608b0b17fffff,40.0,9.090909090909092,6.25
88608b0b1bfffff,0.0,9.090909090909092,0.0
88608b0b4bfffff,0.0,36.36363636363637,0.0
88608b0b69fffff,20.0,54.54545454545454,18.75
88608b0b6dfffff,100.0,100.0,100.0
88608b1883fffff,100.0,36.36363636363637,43.75
88608b1891fffff,60.0,45.45454545454545,37.5
88608b1897fffff,0.0,9.090909090909092,6.25
88608b1899fffff,40.0,81.81818181818183,56.25
88608b189dfffff,20.0,0.0,12.5
88608b18b3fffff,0.0,18.181818181818183,6.25
88608b18b9fffff,0.0,9.090909090909092,6.25
88608b18bbfffff,0.0,9.090909090909092,6.25
88608b1997fffff,0.0,18.181818181818183,0.0
88608b4445fffff,40.0,27.27272727272727,25.0
88608b4447fffff,0.0,36.36363636363637,0.0
88608b4449fffff,0.0,0.0,12.5
88608b444dfffff,20.0,18.181818181818183,12.5
88608b4465fffff,0.0,18.181818181818183,0.0
88608b446bfffff,0.0,18.181818181818183,0.0
88608b446dfffff,0.0,9.090909090909092,0.0
88608b4559fffff,0.0,18.181818181818183,0.0
88608b455dfffff,0.0,9.090909090909092,6.25
88608b4603fffff,0.0,0.0,6.25
88608b4619fffff,0.0,9.090909090909092,6.25
88608b461dfffff,0.0,9.090909090909092,0.0
88608b4635fffff,60.0,36.36363636363637,37.5
88608b4637fffff,0.0,18.181818181818183,0.0
88608b4657fffff,0.0,0.0,6.25
88608b465bfffff,0.0,18.181818181818183,0.0
88608b4713fffff,0.0,9.090909090909092,0.0
88608b4717fffff,0.0,18.181818181818183,0.0
88608b4733fffff,60.0,18.181818181818183,68.75
88608b5495fffff,0.0,18.181818181818183,25.0
88608b549dfffff,0.0,18.181818181818183,25.0
88608b5697fffff,60.0,9.090909090909092,0.0
88608b56bbfffff,0.0,18.181818181818183,0.0
